url_path,views_total,views_unique
/quic/upstream-wifi-fw,32,27
/quic/upstream-wifi-fw/tree/main/ath11k-firmware,23,14
/quic/upstream-wifi-fw/tree/main/ath12k-firmware/QCN9274,15,10
/quic/upstream-wifi-fw/tree/main/ath12k-firmware,14,10
/quic/upstream-wifi-fw/tree/main/ath12k-firmware/QCN9274/hw2.0_split_phy/testing/1.3/WLAN.WBE.1.3-02907-QCAHKSWPL_SILICONZ-1,12,5
/quic/upstream-wifi-fw/tree/main/ath12k-firmware/QCN9274/hw2.0_split_phy,12,4
/quic/upstream-wifi-fw/tree/main/ath11k-firmware/IPQ8074/hw2.0/2.9.0.1/WLAN.HK.2.9.0.1-01977-QCAHKSWPL_SILICONZ-1,10,6
/quic/upstream-wifi-fw/tree/main/ath11k-firmware/IPQ8074/hw2.0,10,4
/quic/upstream-wifi-fw/commits/main/ath12k-firmware/QCN9274/hw2.0_split_phy,9,5
/quic/upstream-wifi-fw/tree/main/ath11k-firmware/IPQ8074/hw2.0/2.9.0.1,8,5
