url_path,views_total,views_unique
/quic/bstruct-mininet/pull/2,13,1
/quic/bstruct-mininet,10,7
/quic/bstruct-mininet/tree/master/experiments,6,2
/quic/bstruct-mininet/blob/master/g2Launcher.py,4,1
/quic/bstruct-mininet/pull/2/commits,4,1
/quic/bstruct-mininet/pull/2/commits/a78d5cb92e8c34fcdc5a54f48e502597fbf60253,4,1
/quic/bstruct-mininet/tree/master/util,4,1
/quic/bstruct-mininet/blob/master/experiments/g2_network04/input/g2.conf,3,2
/quic/bstruct-mininet/pulls,3,2
/quic/bstruct-mininet/tree/master/experiments/g2_network04/input,2,1
