time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-09 00:00:00+00:00,12,9,,
2024-09-10 00:00:00+00:00,9,7,,
2024-09-11 00:00:00+00:00,7,6,4.0,3.0
2024-09-12 00:00:00+00:00,9,8,34.0,3.0
2024-09-13 00:00:00+00:00,8,8,123.0,3.0
2024-09-14 00:00:00+00:00,7,7,6.0,1.0
2024-09-15 00:00:00+00:00,3,3,3.0,3.0
2024-09-16 00:00:00+00:00,4,4,1.0,1.0
2024-09-17 00:00:00+00:00,8,7,8.0,3.0
2024-09-18 00:00:00+00:00,5,5,28.0,7.0
2024-09-19 00:00:00+00:00,14,14,15.0,2.0
2024-09-20 00:00:00+00:00,10,9,,
2024-09-21 00:00:00+00:00,6,5,9.0,1.0
2024-09-22 00:00:00+00:00,14,5,14.0,2.0
