url_path,views_total,views_unique
/quic/qca-sdk-nss-fw,30,20
/quic/qca-sdk-nss-fw/tree/main/QCA_Networking_2022.SPF_12.0.0/ED1,10,6
/quic/qca-sdk-nss-fw/issues/5,8,7
/quic/qca-sdk-nss-fw/tree/main/QCA_Networking.SPF_11.5.0/CS,6,6
/quic/qca-sdk-nss-fw/blob/main/README.md,6,5
/quic/qca-sdk-nss-fw/blob/main/QCA_Networking_2020.SPF_11.3/CS/IPQ8074.ATH.11.3/ReadMe.txt,5,4
/quic/qca-sdk-nss-fw/tree/main,5,3
/quic/qca-sdk-nss-fw/tree/main/QCA_Networking_2021.SPF_11.4/CS,5,3
/quic/qca-sdk-nss-fw/tree/main/.github/workflows,3,3
/quic/qca-sdk-nss-fw/tree/main/QCA_Networking_2022.SPF_12.0.0/ED1/IPQ8074.ATH.12.0.0,3,3
