time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-17 00:00:00+00:00,1.0,1.0,403,77
2024-10-18 00:00:00+00:00,,,285,57
2024-10-19 00:00:00+00:00,,,50,13
2024-10-20 00:00:00+00:00,2.0,2.0,55,22
2024-10-21 00:00:00+00:00,2.0,2.0,338,65
2024-10-22 00:00:00+00:00,3.0,3.0,512,74
2024-10-23 00:00:00+00:00,2.0,2.0,415,71
2024-10-24 00:00:00+00:00,,,365,63
2024-10-25 00:00:00+00:00,,,182,46
2024-10-26 00:00:00+00:00,10.0,8.0,1042,105
2024-10-27 00:00:00+00:00,2.0,2.0,312,43
2024-10-28 00:00:00+00:00,3.0,3.0,304,76
2024-10-29 00:00:00+00:00,2.0,2.0,326,70
2024-10-30 00:00:00+00:00,2.0,2.0,267,63
