url_path,views_total,views_unique
/quic/software-kit-for-qualcomm-cloud-ai-100,63,38
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main,35,10
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/utils/qaic-runner,19,3
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/utils,15,5
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/lib,14,8
/quic/software-kit-for-qualcomm-cloud-ai-100/blob/main/thirdparty-modules/CMakeLists.txt,12,4
/quic/software-kit-for-qualcomm-cloud-ai-100/blob/main/CMakeLists.txt,11,3
/quic/software-kit-for-qualcomm-cloud-ai-100/blob/main/utils/qaic-runner/QAicRunnerMain.cpp,11,3
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/inc,10,3
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/thirdparty-modules,9,6
