url_path,views_total,views_unique
/quic/software-kit-for-qualcomm-cloud-ai-100,61,36
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main,32,8
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/utils/qaic-runner,19,3
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/lib,15,9
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/utils,14,4
/quic/software-kit-for-qualcomm-cloud-ai-100/blob/main/thirdparty-modules/CMakeLists.txt,12,4
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/inc,11,4
/quic/software-kit-for-qualcomm-cloud-ai-100/blob/main/CMakeLists.txt,11,3
/quic/software-kit-for-qualcomm-cloud-ai-100/blob/main/utils/qaic-runner/QAicRunnerMain.cpp,11,3
/quic/software-kit-for-qualcomm-cloud-ai-100/tree/main/thirdparty-modules,9,6
