time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,2,2
2024-08-29 00:00:00+00:00,0,0,2,1
2024-08-31 00:00:00+00:00,0,0,1,1
2024-09-03 00:00:00+00:00,1,1,4,2
2024-09-04 00:00:00+00:00,0,0,42,2
2024-09-05 00:00:00+00:00,0,0,2,2
2024-09-06 00:00:00+00:00,1,1,15,2
2024-09-09 00:00:00+00:00,0,0,77,5
2024-09-10 00:00:00+00:00,0,0,37,5
2024-09-11 00:00:00+00:00,4,4,4,3
2024-09-12 00:00:00+00:00,0,0,33,3
2024-09-16 00:00:00+00:00,2,2,1,1
2024-09-19 00:00:00+00:00,0,0,3,2
2024-09-20 00:00:00+00:00,0,0,2,2
2024-09-21 00:00:00+00:00,0,0,1,1
2024-09-22 00:00:00+00:00,0,0,2,1
2024-09-23 00:00:00+00:00,0,0,102,2
2024-09-24 00:00:00+00:00,0,0,18,3
2024-09-25 00:00:00+00:00,0,0,69,2
2024-09-26 00:00:00+00:00,0,0,4,2
2024-09-27 00:00:00+00:00,0,0,3,2
2024-09-28 00:00:00+00:00,0,0,5,2
2024-09-29 00:00:00+00:00,0,0,1,1
2024-09-30 00:00:00+00:00,0,0,9,5
2024-10-01 00:00:00+00:00,1,1,2,1
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,1,1,4,3
2024-10-04 00:00:00+00:00,0,0,2,2
2024-10-05 00:00:00+00:00,0,0,4,2
2024-10-06 00:00:00+00:00,0,0,2,2
2024-10-07 00:00:00+00:00,0,0,8,3
2024-10-08 00:00:00+00:00,0,0,11,3
2024-10-09 00:00:00+00:00,0,0,4,2
2024-10-10 00:00:00+00:00,0,0,4,4
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,0,0,5,2
2024-10-13 00:00:00+00:00,0,0,21,4
2024-10-15 00:00:00+00:00,2,2,1,1
2024-10-16 00:00:00+00:00,1,1,3,2
2024-10-17 00:00:00+00:00,0,0,25,4
2024-10-18 00:00:00+00:00,0,0,3,3
2024-10-19 00:00:00+00:00,0,0,3,1
2024-10-21 00:00:00+00:00,0,0,2,2
2024-10-22 00:00:00+00:00,0,0,4,3
2024-10-23 00:00:00+00:00,0,0,6,4
2024-10-24 00:00:00+00:00,0,0,6,1
2024-10-25 00:00:00+00:00,0,0,7,2
2024-10-26 00:00:00+00:00,1,1,1,1
2024-10-28 00:00:00+00:00,0,0,2,2
2024-10-29 00:00:00+00:00,1,1,5,4
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-01 00:00:00+00:00,0,0,2,2
2024-11-02 00:00:00+00:00,1,1,1,1
2024-11-03 00:00:00+00:00,1,1,0,0
2024-11-05 00:00:00+00:00,0,0,2,2
2024-11-07 00:00:00+00:00,0,0,2,2
2024-11-08 00:00:00+00:00,0,0,2,1
2024-11-11 00:00:00+00:00,1,1,3,1
