time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,25,3,,
2024-09-07 00:00:00+00:00,5,1,,
2024-09-08 00:00:00+00:00,2,1,3.0,1.0
2024-09-09 00:00:00+00:00,69,6,,
2024-09-10 00:00:00+00:00,35,3,,
2024-09-11 00:00:00+00:00,10,2,,
2024-09-12 00:00:00+00:00,1,1,,
2024-09-13 00:00:00+00:00,16,1,62.0,1.0
2024-09-14 00:00:00+00:00,5,3,,
2024-09-16 00:00:00+00:00,5,3,,
2024-09-17 00:00:00+00:00,19,4,,
2024-09-18 00:00:00+00:00,9,2,,
2024-09-19 00:00:00+00:00,19,4,,
