url_path,views_total,views_unique
/quic/software-kit-for-qualcomm-cloud-ai-100-cc,22,15
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/tree/main/examples,4,3
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/blob/main/docs/QAICProgramConfig.txt,3,3
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/tree/main/runtime,3,1
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/blob/main/examples/multicast_example/MulticastLib.cpp,2,2
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/issues,2,2
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/issues/1,2,2
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/tree/main/docs,2,1
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/tree/main/toolchain/test,2,1
/quic/software-kit-for-qualcomm-cloud-ai-100-cc/tree/main/tools,2,1
