url_path,views_total,views_unique
/njjetha/System-Design/actions/new,11,1
/njjetha/System-Design/new/master,10,1
/njjetha/System-Design,9,2
/njjetha/System-Design/tree/master/LowLevelDesign,9,2
/njjetha/System-Design/tree/github-repo-stats/njjetha/System-Design,6,1
/njjetha/System-Design/actions/workflows/github-repo-stats.yml,5,1
/njjetha/System-Design/tree/github-repo-stats/njjetha/System-Design/ghrs-data,5,1
/njjetha/System-Design/tree/github-repo-stats/njjetha/System-Design/latest-report,4,1
/njjetha/System-Design/tree/master/.github,4,1
/njjetha/System-Design/tree/master,3,1
