time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-19 00:00:00+00:00,2,2,22,13
2025-04-20 00:00:00+00:00,3,1,25,11
2025-04-21 00:00:00+00:00,3,2,116,42
2025-04-22 00:00:00+00:00,1,1,118,31
2025-04-23 00:00:00+00:00,1,1,116,35
2025-04-24 00:00:00+00:00,2,2,89,39
2025-04-25 00:00:00+00:00,4,3,118,25
2025-04-26 00:00:00+00:00,2,1,54,11
2025-04-27 00:00:00+00:00,3,2,58,19
2025-04-28 00:00:00+00:00,7,5,136,46
2025-04-29 00:00:00+00:00,6,4,160,39
2025-04-30 00:00:00+00:00,3,3,136,31
2025-05-01 00:00:00+00:00,3,3,44,25
2025-05-02 00:00:00+00:00,1,1,50,17
