time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,1.0,1.0,1,1
2025-04-02 00:00:00+00:00,1.0,1.0,3,2
2025-04-03 00:00:00+00:00,,,2,2
2025-04-04 00:00:00+00:00,1.0,1.0,20,3
2025-04-05 00:00:00+00:00,,,50,1
2025-04-07 00:00:00+00:00,1.0,1.0,27,3
2025-04-08 00:00:00+00:00,3.0,3.0,26,6
2025-04-09 00:00:00+00:00,2.0,2.0,12,3
2025-04-10 00:00:00+00:00,,,36,3
2025-04-11 00:00:00+00:00,23.0,5.0,87,4
2025-04-12 00:00:00+00:00,,,1,1
2025-04-13 00:00:00+00:00,,,2,1
