time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-11 00:00:00+00:00,13,13,1154,256
2025-03-12 00:00:00+00:00,12,12,1505,268
2025-03-13 00:00:00+00:00,7,7,912,214
2025-03-14 00:00:00+00:00,11,10,1077,223
2025-03-15 00:00:00+00:00,11,8,539,116
2025-03-16 00:00:00+00:00,16,10,498,110
2025-03-17 00:00:00+00:00,21,13,1229,243
2025-03-18 00:00:00+00:00,11,7,957,287
2025-03-19 00:00:00+00:00,7,7,1129,312
2025-03-20 00:00:00+00:00,17,16,1068,381
2025-03-21 00:00:00+00:00,11,10,866,316
2025-03-22 00:00:00+00:00,4,4,369,177
2025-03-23 00:00:00+00:00,2,1,363,200
2025-03-24 00:00:00+00:00,20,16,1004,287
