time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-21 00:00:00+00:00,11,10,1313,350
2025-05-22 00:00:00+00:00,21,14,904,329
2025-05-23 00:00:00+00:00,9,9,1008,316
2025-05-24 00:00:00+00:00,4,3,420,167
2025-05-25 00:00:00+00:00,12,7,446,182
2025-05-26 00:00:00+00:00,5,5,1344,367
2025-05-27 00:00:00+00:00,11,8,1078,359
2025-05-28 00:00:00+00:00,7,7,1091,339
2025-05-29 00:00:00+00:00,36,12,1018,312
2025-05-30 00:00:00+00:00,8,7,740,299
2025-05-31 00:00:00+00:00,2,2,382,187
2025-06-01 00:00:00+00:00,8,5,533,228
2025-06-02 00:00:00+00:00,8,6,814,316
2025-06-03 00:00:00+00:00,16,12,924,332
