url_path,views_total,views_unique
/quic/android-on-snapdragon,14,13
/quic/android-on-snapdragon/tree/master/Camera,4,4
/quic/android-on-snapdragon/tree/master/video,3,3
/quic/android-on-snapdragon/tree/master/Camera/InsensorZoomSampleCode,2,2
/quic/android-on-snapdragon/tree/master/Display,2,2
/quic/android-on-snapdragon/tree/master,2,1
/quic/android-on-snapdragon/blob/79203af2f053edfce661bb0c537f02965848bb2b/video/libraries/QtiVideoExt/src/main/assets/QMediaCodecCapabilities_sm8550_kalama.json,1,1
/quic/android-on-snapdragon/blob/master/Camera/ColorSpaceSampleCode/app/src/main/java/com/example/instantzoomsamplecode/MainActivity.java,1,1
/quic/android-on-snapdragon/tree/master/Camera/InsensorZoomSampleCode/app,1,1
/quic/android-on-snapdragon/tree/master/Camera/InsensorZoomSampleCode/app/src,1,1
