url_path,views_total,views_unique
/quic/riscv-unified-db/releases/tag/Xqci-0.7.0,36,22
/quic/riscv-unified-db/releases,28,22
/quic/riscv-unified-db/tree/Xqci-0.7.0,13,7
/quic/riscv-unified-db,11,6
/quic/riscv-unified-db/tree/Xqci-0.7.0/arch,9,3
/quic/riscv-unified-db/blob/Xqci-0.7.0/arch/README.adoc,7,5
/quic/riscv-unified-db/tree/main/arch,7,2
/quic/riscv-unified-db/blob/Xqci-0.7.0/arch/inst/I/add.yaml,5,3
/quic/riscv-unified-db/tree/Xqci-0.7.0/arch/inst/I,5,1
/quic/riscv-unified-db/releases/tag/Xqci-0.6,3,2
