time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-23 00:00:00+00:00,122,10,,
2024-12-24 00:00:00+00:00,134,11,16.0,2.0
2024-12-25 00:00:00+00:00,90,8,,
2024-12-26 00:00:00+00:00,111,11,16.0,2.0
2024-12-27 00:00:00+00:00,100,13,21.0,4.0
2024-12-28 00:00:00+00:00,39,6,1.0,1.0
2024-12-29 00:00:00+00:00,60,2,,
2024-12-30 00:00:00+00:00,97,11,12.0,4.0
2024-12-31 00:00:00+00:00,91,9,126.0,6.0
2025-01-01 00:00:00+00:00,80,4,,
2025-01-02 00:00:00+00:00,108,10,12.0,3.0
2025-01-03 00:00:00+00:00,187,9,3.0,2.0
2025-01-04 00:00:00+00:00,47,5,,
2025-01-05 00:00:00+00:00,97,4,,
